set,subject,mae,rmse,psnr,ssim,in_mae,in_rmse,in_psnr,in_ssim
test,0004,9.935939925978083e-05,0.0007264529999881569,45.363990087578735,0.9901918904025326,0.003336902467660701,0.008048379183731557,23.923290908674108,0.5689018660731473
test,0006,4.250418726978616e-05,0.0003082521846493485,54.29920479159212,0.9931606338896679,0.0015719307295249134,0.004196649351247049,29.540961509791416,0.7305819793362739
test,0007,0.00011424650379832675,0.0005819428076383821,49.841452663622306,0.9903524633858932,0.003979263925478,0.009174396985863018,25.656507726861737,0.5868213473994441
test,0014,0.00012927752443135288,0.0007898245906074551,45.430353488238,0.9875395300797354,0.003886975924950476,0.009136203692545869,23.78777792274955,0.5602937263585385
test,0016,0.000124105032947335,0.0006605249324437816,47.432090715983506,0.9883308939819889,0.003832473856307747,0.008832801984298337,24.582180441959764,0.5648445313321947
test,0017,0.00010907537389851098,0.000599385850603683,48.138374408061516,0.9901174479795558,0.003844618980350022,0.008970022022894179,24.58127372858414,0.5712208769715695
test,0020,0.00010816023629541056,0.0006175733034093268,47.98398197875926,0.9900297543231351,0.004395865215189444,0.010368167056329088,23.308034886197394,0.577179754840625
test,0034,9.512604371838949e-05,0.0005203678641871528,50.50013873675256,0.9922431750823856,0.003954231512101327,0.0092424404191613,24.945090693244715,0.6004456480945052
test,0037,9.761627913687072e-05,0.0008957639856637462,47.83783833272031,0.9953101786600073,0.0012352739010901516,0.0033178979159090793,33.4348481109987,0.7803002143122899
test,0042,0.0001455111286613873,0.0008767842674256156,50.00411259032969,0.9927447247766762,0.003280475048612923,0.007787793077831769,30.25616641526607,0.6734865424578149
test,0061,0.00015882891606703483,0.0007581361352262512,49.58681682527415,0.987213701749189,0.003804183270164542,0.008547732932607974,27.685170472045133,0.6076879213762469
