set,subject,mae,rmse,psnr,ssim,in_mae,in_rmse,in_psnr,in_ssim
test,0004,7.644472668818923e-05,0.0005670930968933949,47.40150071491846,0.992882848089114,0.0015089925656483455,0.0034855940994978148,31.014304876284015,0.6416338588121698
test,0006,4.248852536930788e-05,0.0002999966383544904,55.55613742457962,0.9925556741082314,0.0009157835413678807,0.0025190194568147873,34.572218682165634,0.8176140202052187
test,0007,0.00011799412397027111,0.0006500136564083828,49.02270750741837,0.9901843812637714,0.0020237134127503516,0.004458656375534606,31.90518193834917,0.6799244947717431
test,0014,0.00011462183245812771,0.0007180969182866791,46.32645519250548,0.9892078876134023,0.001829763753305183,0.004247870538644125,30.28333346762881,0.6529989459055404
test,0016,0.00011041199325153397,0.0006297001578116722,47.87973938342559,0.9894997844394212,0.0018271832150276168,0.004084109487226478,31.16403140370725,0.665219029356794
test,0017,0.00010566726686234735,0.0006353767755148223,47.68554288729438,0.9902843840985796,0.001769995738724997,0.003940296221595705,31.581815594830303,0.6678114455802914
test,0020,0.00010660147020421331,0.0006519777415695596,47.731092984722444,0.990800168861159,0.0021138173221491967,0.0049919058383238735,29.612269039140266,0.6538721147726498
test,0034,9.65003024296158e-05,0.0005774477814414144,50.18153397839639,0.9926830158839088,0.0019241361572216863,0.004612567957194283,30.592388319723998,0.6743892722012256
test,0037,5.7168199164137655e-05,0.0005938896393361478,51.35658154726044,0.9972253936241631,0.0006764087759764056,0.0020497180997297525,37.22586186507673,0.8571809027411832
test,0042,0.00017251639410625032,0.0010887494139284939,48.13899474582895,0.9913542145128753,0.0015681890215187434,0.0037022987585499465,36.36297586010825,0.7928613571595365
test,0061,0.00016105495811975863,0.0008264607437300391,48.7182933520936,0.9867785924041602,0.0019164357368505367,0.003979938749245393,33.91112828871191,0.703404771107761
val,0008,0.00010631368933195817,0.0006619867479750946,47.88550330674428,0.9899749800475872,0.0017222430320232792,0.004128583553497983,31.444555966041122,0.6910728474902497
val,0015,0.00013896320005887661,0.0008920984975558991,42.7270272720663,0.9871872142775306,0.002029357171546795,0.004829238298713646,27.14939768343644,0.6182308273945624
val,0038,6.0556622919705205e-05,0.0004635137092021212,54.595069907914684,0.9950867350903781,0.0011740460968451914,0.003182711119925922,35.03099615359648,0.779175256028751
val,0045,7.92858911751182e-05,0.0005282104325039271,51.14875455428031,0.9931578166793309,0.0015472755953372765,0.003865298069190191,32.360916713691324,0.7319409104957417
val,0048,0.0001189362304893842,0.0007546489818806597,50.728661067098734,0.9942501589365328,0.0015610578166400189,0.0036633360395123753,36.132200733925266,0.7835792688475471
val,0051,0.00010512049057802797,0.0005942456757596023,49.17057629651898,0.9903159551461073,0.0016252998592742522,0.0038861987451175657,31.77232732038833,0.7260322978577779
val,0052,0.00010702560194400086,0.0005896296397862132,49.20685893000347,0.9905911075345923,0.0017113060618947585,0.004056246404376763,31.120907142933742,0.7126407884316103
val,0069,0.00010741366741372435,0.0006192563442518325,49.852452255071576,0.991096204298597,0.0017872912090799793,0.0036861512898643638,33.719246544752274,0.6792440433208699
val,0073,0.0001234266443085038,0.0006429896275999693,49.777141906475165,0.9880573009173458,0.0020599402648832964,0.004405396362160805,31.892579340096866,0.6856336613530833
val,0077,0.0001336121111593588,0.000753636653371359,48.81025363777029,0.9876935892029602,0.0019955210350417474,0.004273992272685159,32.17837499265778,0.6704795076465051
val,0079,9.764369657604352e-05,0.0006286750118055064,51.3613067925754,0.9934581287861828,0.00165303596608474,0.0038082278162236386,34.57495193733945,0.7420061032752298
